Company Name,Company Street,Postal Code,City,C/O,Last Name,First Name,Linkedin Profile
1856 Family Office AG,Seefeldstrasse 45,8008,Zürich,c/o Haussmann Treuhand AG,Paus,William,
1856 Family Office AG,Seefeldstrasse 45,8008,Zürich,c/o Haussmann Treuhand AG,Hamre,Ole Frederik,
1856 Family Office AG,Seefeldstrasse 45,8008,Zürich,c/o Haussmann Treuhand AG,Chartier Rehnvall,Anna Therese,
1856 Family Office AG,Seefeldstrasse 45,8008,Zürich,c/o Haussmann Treuhand AG,Nordin,Kristin Elisabet,
1856 Family Office AG,Seefeldstrasse 45,8008,Zürich,c/o Haussmann Treuhand AG,Ernst & Young AG (CHE-491.907.686),,
1856 Family Office AG,Seefeldstrasse 45,8008,Zürich,c/o Haussmann Treuhand AG,Haussmann,Lars Alexander,
1q3 GmbH,Imfeldstrasse 44,8037,Zürich,c/o Philipp Kammerlander,Kammerlander,Philipp Nino Paul,
4L Immo AG,Goldschlägistrasse 14,8952,Schlieren,,Shtanaj,Behar,
Aggeler Immobilien GmbH,Oberes Büel 2,8457,Humlikon,,Aggeler,Christian Alain,
albis kinderkrippe nano GmbH,Albisstrasse 32,8915,Hausen am Albis,,Natale-Winiger,Miriam,
ALDEMIRO GARCIA DIONÍSIO - ADC CONSULTING,Forchstrasse 90,8132,Egg b. Zürich,,Garcia Dionísio,Aldemiro José,
alphakey GmbH,Bäumlisächerstrasse 47,8907,Wettswil,,Pfeifer,Victoria,
AlpineLink GmbH,Loostrasse 3,8703,Erlenbach ZH,,Berli,Laurin,
AlpineLink GmbH,Loostrasse 3,8703,Erlenbach ZH,,Renz,Theo,
Amanda Cheli,Friedaustrasse 12,8003,Zürich,c/o Amanda Cheli,Cheli,Amanda,
AMB ACT COACHING Mostefaï Amina,Zürichstrasse 38,8700,Küsnacht ZH,,Mostefaï,Amina,
"Ampito Limited, Hove (UK), Zweigniederlassung Zürich",Bederstrasse 66,8002,Zürich,c/o Balmer-Etienne AG,Jacobs,Dirk Johannes,
"Ampito Limited, Hove (UK), Zweigniederlassung Zürich",Bederstrasse 66,8002,Zürich,c/o Balmer-Etienne AG,Pinon Martinez,Manuel,
"Ampito Limited, Hove (UK), Zweigniederlassung Zürich",Bederstrasse 66,8002,Zürich,c/o Balmer-Etienne AG,Boskma,Paul,
Arbeitsarzt - F. Ispikoudis,Bahnhofstrasse 108,8001,Zürich,,Ispikoudis,Fotis,
Architektoni GmbH,Zollikerstrasse 65,8702,Zollikon,,De Luca,Antonio,
Arco Service GmbH,Neumattstrasse 22,8902,Urdorf,,Hernández Silvera,Dania,
Arco Service GmbH,Neumattstrasse 22,8902,Urdorf,,Hernández Silvera,Adrián,
Armonias Paradise GmbH,Looacherstrasse 1,8909,Zwillikon,,Van der Graaf,Celina Lucia,
ART Pham,Ruchwiesenstrasse 2,8157,Dielsdorf,,Pham,Viet Duc,
Assi Abramovitz Software Consulting and Development,Münchsteig 1,8008,Zürich,,Abramovitz,Assi,
AT Global Tech KLG,Stolzestrasse 25,8006,Zürich,c/o Amene Nater,Nater,Amene,
AT Global Tech KLG,Stolzestrasse 25,8006,Zürich,c/o Amene Nater,Nater,Thierry Guy,
AXL Shaara,Zürcherstrasse 198,8406,Winterthur,,Shaara,Seamand,
Ay Easyumzüge & Transporte,Im Steinhof 6,8180,Bülach,,Ay,Ibrahim,
Balmer Coaching & Beratung GmbH,Oberzelgstrasse 5,8618,Oetwil am See,c/o Susan Balmer,Balmer,Susan,
BARBER SHOP GIMII - Sefa,Hungerbergstrasse 1,8046,Zürich,,Sefa,Agim,
Beratungen & Immobilien - Günthard,Tössertobelstrasse 15,8400,Winterthur,,Günthard,Timon,
BK-Photovoltaik GmbH,Rotfluhstrasse 91,8702,Zollikon,c/o Suffert Neuenschwander & Partner,Ericyas,Kaan,
BK-Photovoltaik GmbH,Rotfluhstrasse 91,8702,Zollikon,c/o Suffert Neuenschwander & Partner,Oeschger,Simon,
BLATTNER LAW,Zeltweg 49,8032,Zürich,,Blattner,Cyril Dominik,
Boot7 GmbH,Drusbergstrasse 54,8053,Zürich,c/o Kurt Irniger,Irniger,Kurt,
Boris Gusic Architekten GmbH,Am Wasser 24,8049,Zürich,,Gusic,Boris,
Brack Vanguard Solutions,Eggbühlstrasse 16,8050,Zürich,c/o Dominik Brack,Brack,Dominik,
Bron Innenausbau GmbH,Rütihofstrasse 19,8049,Zürich,,Hysaj,Burim,
Cantorii Chheng Massage,Zürichstrasse 71c,8134,Adliswil,,Chheng,Enny,
Caspian-Alpine Society,Freigutstrasse 10,8002,Zürich,,Gulamova,Maryam,
CD-BG - Tsvetan Dimitrov,Limmattalstrasse 308,8049,Zürich,,Dimitrov,Tsvetan,
Cenusa LBK,Lorenweg 2,8630,Rüti ZH,,Cenusa,Caroline Maria Margot,
CHW-Services Chelini,Usterstrasse 158,8620,Wetzikon ZH,c/o Winn Chelini,Chelini,Winn,
Clean Optimal Korbi,Trichtenhausenstrasse 126,8053,Zürich,,Korbi,Eduard,
CleanTech Solutions GmbH,Untermattstrasse 14,8805,Richterswil,,Berisha,Alban,
Clou Solutions GmbH,Schiffbaustrasse 9d,8005,Zürich,c/o Sophie Nägeli,Nägeli,Sophie Clémentine,
Code Financials AG,Mühlebachstrasse 8,8008,Zürich,c/o Buis Bürgi AG,Agha,Aun Ali,
Coiffeursalon Freddie Vatanpour,Dorfstrasse 13,8906,Bonstetten,,Vatanpour,Freddie,
Compassions - Jasmin Jud,Leimbachstrasse 47,8041,Zürich,,Jud,Jasmin Sonya,
CTS-S Clean Tec Solution Susak,Wehntalerstrasse 608,8046,Zürich,,Susak,Meliha,
Dancing Beans Coffee KLG,Minervastrasse 78,8032,Zürich,c/o Simon Jenal und Nino Nikabadze,Jenal,Simon,
Dancing Beans Coffee KLG,Minervastrasse 78,8032,Zürich,c/o Simon Jenal und Nino Nikabadze,Nikabadze,Nino,
